country,stateprovince,county,collectioncode,catalognumber,locality,scientificname,decimallatitude,decimallongitude,daycollected,monthcollected,yearcollected
Brasil,Estado de Minas Gerais,Carlos Chagas,LIRP,13790,Rio Mucuri approximately 9 km W of Town of Presidente Pena Along a Dirt Road On Fazenda Gaviao. Shallow Side Pool Off Main River Channel. (Coordinates Are For Presidente Pena.),Characidium sp.,-17.68,-40.92,19,07,1991
Brasil,Estado de Sao Paulo,Peruibe,LIRP,1000,Estação Ecológica da Juréia - Itatins,Characidium sp.,-24.3847222,-47.0188889,16,08,2000
Brasil,Estado de Minas Gerais,Salitre de Minas,LIRP,8134,"Córrego Bebedouro (afl. Ribeirão Salitre, bac. Rio Quebra-Anzol, sist. Rio Paranaíba), na região do Domo do Salitre I",Characidium gomesi,-19.0680556,-46.7872222,23,10,2006
Brasil,Estado de Pernambuco,NA,LIRP,3741,Açude do Porco no riacho Gravatá,Characidium sp.,-7.8727778,-39.9383333,18,07,2002
Brasil,Estado de Minas Gerais,Tocos Do Moji,LIRP,14842,Cabeceira do Rio Mogi-Guaçu - CAB01,Characidium gomesi,-22.3369444444,-46.1602777778,14,07,2015
Brasil,Estado de Sao Paulo,Cajuru,LIRP,76,"Rio Cubatão, fazenda Santa Carlota, Rio Pardo",Characidium gomesi,-21.3666667,-47.2833333,13,04,1986
Brasil,Estado de Mato Grosso,Barra Do Garcas,LIRP,6837,Rio das Garças,Characidium sp.,-16.0258333,-53.4313889,04,12,2007
Brasil,Estado de Mato Grosso do Sul,Bonito,LIRP,5550,"Rio Formoso, sob ponte estrada Bonito-Nascente do Formoso",Characidium cf. zebra,-21.2536111,-56.56,27,08,2004
Brasil,Estado de Minas Gerais,Paracatu,LIRP,9922,"Córrego da Cachoeirinha, junto à ponte de concreto e maderia em estrada de terra, próximo à Fazenda Beirute",Characidium sp.,-17.3377778,-47.3636111,01,11,2012
Brasil,Estado de Sao Paulo,Marapoama,LIRP,4622,"Usina Destil, Ribeirão Cubatão, Estrada Marapoama-ElisiaRio",Characidium zebra,-21.1930556,-49.1227778,10,02,2003
Brasil,Estado de Sao Paulo,Buritizal,LIRP,8211,"Bacia do Rio Parana, Córrego dos Buritis, Estância Véu das Noivas",Characidium zebra,-20.22,-47.7405556,29,05,2010
Brasil,Estado de Sao Paulo,Auriflama,LIRP,2510,"Córrego do Limoeiro, Fazenda Itapuã, sub-bacia Rio São José dosDourados SJD004",Characidium zebra,-20.5591667,-50.5916667,28,07,1999
Brasil,Estado de Sao Paulo,Cajuru,LIRP,65,"Córrego das Pedras, Rio Pardo",Characidium fasciatum,-21.4166667,-47.2666667,04,12,1986
Brasil,Estado de Mato Grosso do Sul,Bonito,LIRP,5612,"Córrego da Fazenda, na ponte da MS-345. Afl.doTaquaruçu-Jenipapo-Bacuri-Miranda",Characidium cf. zebra,-20.8944444,-56.3713889,04,09,2004
Brasil,Estado do Parana,Paranavai,LIRP,2518,"Cór. Sta Clara, Faz. Rancho Zinco e Cristo Rei, subbacia P. Paranapanema PPA030",Characidium zebra,-22.765,-52.4219444,08,08,2000
Brasil,Estado de Mato Grosso,Alto Garcas,LIRP,14001,"Rio das Mortes, Ribeirão Tesouro, Área alaga em comunicação com o rio.",Characidium sp.,-15.1727777778,-53.1775,10,02,2008
Brasil,Estado de Mato Grosso,Pocone,LIRP,9484,"Baía das Três Bocas, Parque Nacional do Pantanal",Characidium laterale,-17.858222,-57.476139,27,10,2011
Brasil,Estado de Mato Grosso do Sul,Costa Rica,LIRP,5922,Rio Sucuriu na fazenda Potreiro do Sucuriu (Ponte de pedra),Characidium cf. zebra,-18.9861111,-53.1694444,27,08,2006
Brasil,Estado de Mato Grosso,Sapezal,LIRP,15082,"PCH Parecis, Rio Juruena",Characidium sp.,-13.0786111,-58.9683333,06,11,2008
Brasil,Estado de Mato Grosso do Sul,Chapadao Do Sul,LIRP,4939,Córrego Pedra Azul,Characidium sp.,-18.7942008972168,-52.6227989196777,10,10,2003
Brasil,Estado de Tocantins,Bom Jesus Do Tocantins,LIRP,14359,"Córrego Boa Esperança, tributário do alto Rio Tocantins",Characidium sp.,-9.0941666667,-48.1836111111,29,09,2008
Brasil,Estado de Mato Grosso,Barra Do Garcas,LIRP,14361,"Rio das Mortes, Córrego da Forma, poço raso formado em laje de rocha",Characidium sp.,-15.4391666667,-53.1783333333,10,02,2008
Brasil,Estado de Mato Grosso do Sul,Bela Vista,LIRP,5551,"Córrego timbó, Fazenda Margarida",Characidium cf. zebra,-21.6069444,-56.7911111,31,08,2004
Brasil,Estado de Sao Paulo,Luis Antonio,LIRP,7376,"Lagoa do Diogo, lagoa marginal do Rio Mogi-Guaçú, Estação Ecologica de Jatai.",Characidium zebra,-21.6238889,-47.8061111,29,09,2009
Brasil,Estado de Mato Grosso do Sul,Bonito,LIRP,5535,"Rio Formoso, na chácara Morada do Rio (Angela e Liglauber), a aproximadamente 15 km da foz",Characidium cf. zebra,-21.0791667,-56.3391667,29,08,2004
Brasil,Estado de Sao Paulo,Luis Antonio,LIRP,347,"Lagoa do Diogo, Reserva de Jataí",Characidium sp.,-21.5499992370605,-47.7000007629395,23,08,1997
Brasil,Estado de Goias,Catalao,LIRP,3444,"Rio São Bento na fazenda Vitória, Chapadão da Anta Gorda",Characidium sp.,-17.7816667,-47.5327778,26,04,2002
Brasil,Estado do Rio de Janeiro,Itatiaia,LIRP,17690,"Riacho sem nome, afluente do Rio Campo Belo; Entorno Parque Nacional de Itatiaia, ponto Impactado 03",Characidium vidali,-23.301944,-44.900278,07,11,2019
Brasil,Estado de Mato Grosso do Sul,Bonito,LIRP,5552,"Córrego Chocolate, ponte na MS-345, a 22,8 km de Bonito",Characidium borellii,-20.9291667,-56.4327778,21,08,2004
Brasil,Estado da Bahia,Itaete,LIRP,758,"Olho d'água do Almerindo, af. Rio Una (af. Paraguassu), apx. 18Km SE de Andaraí",Characidium sp.,-12.9863996505737,-40.9724998474121,02,09,1991
Brasil,Estado de Sao Paulo,Guaira,LIRP,2515,"Córrego de Guaíra, Faz. Santo Inácio, sub-bacia do baixo Pardo-Grande - PAG059",Characidium zebra,-20.1972222,-48.5533333,13,10,2001
Brasil,Estado de Mato Grosso,Campo Verde,LIRP,3891,"Rio das Mortes, sob primeira ponte na estrad Campo Verde à Chapada dos Guimarães",Characidium sp.,-15.5052778,-55.2269444,17,01,2002
Brasil,Estado de Minas Gerais,Felixlandia,LIRP,4172,Cachoeira do Choro,Characidium fasciatum,-18.7581005096436,-44.8988990783691,27,06,2002
Brasil,Estado de Minas Gerais,Sacramento,LIRP,6228,"Corrego da Joana, Rio das Velhas (próximo à Desemboque)",Characidium sp.,-20.0577778,-46.9280556,10,07,2004
Brasil,Estado de Minas Gerais,Paracatu,LIRP,3593,"Ribeirão da Batalha, na Fazenda Batalha (Pedro Quaresma)",Characidium sp.,-17.4236111,-47.4530556,25,07,2002
Brasil,Estado de Minas Gerais,Presidente Olegario,LIRP,2057,"Ribeirão Quiricó, prox. a Galena",Characidium sp.,-18.4178009033203,-46.418098449707,13,10,2000
Brasil,Estado de Rondonia,Machadinho D'Oeste,LIRP,13589,Cachoeira Rio Juruá (Vila Tabajara),Characidium aff. zebra,-8.6969194,-62.3666,22,11,2013
Brasil,Estado de Sao Paulo,Guapiara,LIRP,1001,"Rio do Carmo, Parque Estadual Intervales",Characidium laurdi,-24.3066667,-48.4144444,13,09,2000
Brasil,Estado de Sao Paulo,Cajuru,LIRP,179,"Córrego Barro Branco, próximo a desembocadura no Rio Pardo, Fazenda Santa Carlota",Characidium fasciatum,-21.2666667,-47.35,24,03,1989
Brasil,Estado de Sao Paulo,Sao Simao,LIRP,323,Ribeirão Tamanduá,Characidium sp.,-21.4699993133545,-47.5499992370605,01,05,1998
Brasil,Estado de Sao Paulo,Ilha do Cardoso,LIRP,3168,Rio Santa Cruz,Characidium sp.,0,0,31,07,2001
Brasil,Estado de Goias,Campo Alegre De Goias,LIRP,3393,"Ribeirão Pirapitinga, próx. ao alambique da Faz. Pirapitinga",Characidium zebra,-17.8033333,-47.6986111,21,04,2002
Brasil,Estado de Mato Grosso,Tangara Da Serra,LIRP,8915,Córrego Estaca,Characidium zebra,-14.6547222,-57.4552778,11,04,2007
Brasil,Estado de Sao Paulo,Itanhaem,LIRP,15569,"Rio Preto, borda do charco de água preta, riacho de restinga proximo ao recanto Jeová Shalom",Characidium lanei,-24.21836,-46.93001,17,12,2017
Brasil,Estado de Sao Paulo,Ubatuba,LIRP,15314,"Rio Puruba, abaixo da ponte no km 24 da rodovia BR-101, ca. de 1,5km da desembocadura no Oceano Atlântico (Excursão da disciplina Biologia de Campo, Universidade de São Paulo, campus de Ribeirão Preto)",Characidium lanei,-23.3494444444,-44.9447222222,03,10,2017
Brasil,Estado de Tocantins,Pedro Afonso,LIRP,14360,"Córrego Curí, tributário do alto Rio Tocantins",Characidium sp.,-9.1338888889,-48.1911111111,29,09,2008
Brasil,Estado de Mato Grosso,Itiquira,LIRP,4954,"Ribeirão Ponta do Resolvido, próximo à Fazenda Santa Paula, afluente da margem direita do Rio Correntes, B. Piquiri",Characidium sp.,-17.2089004516602,-54.1502990722656,05,10,2003
Brasil,Estado de Sao Paulo,Olimpia,LIRP,2536,"Córrego das Laranjeiras, Faz. Três Corações, sub-bacia do Turvo-Grande TUG054",Characidium zebra,-20.7363889,-49.0472222,15,07,2001
Brasil,Estado do Parana,Morretes,LIRP,415,"Rio Sagrado, Rio Paranaguá",Characidium sp.,-25.45,-48.8666667,08,02,1988
Brasil,Estado de Minas Gerais,Bom Repouso,LIRP,14760,"Cabeceira do Rio Mogi-Guaçu, CAB16",Characidium gomesi,-22.4138888889,-46.1044444444,12,07,2015
Brasil,Estado de Mato Grosso,Sapezal,LIRP,15069,"Rio Juruena, PCH Sapezal",Characidium sp.,-13.2694444,-59.0238889,01,11,2007
Brasil,Estado de Sao Paulo,Ocaucu,LIRP,2524,"Córrego Santo Antonio, Faz. Ret. Santo Antonio, sub-bacia do Rio do Peixe PEX020",Characidium zebra,-22.3683333,-49.9141667,25,05,2000
Brasil,Estado da Bahia,Nova Lídice,LIRP,13773,"Rio Itanhem (Also Known As Rio Alcobaca), approximately 15 km W of Nova Lidice Off Ba-290. Side Part of Main River Channel, Just Below 2nd Set of Rapids Down River From Campsite.",Characidium sp.,-17.42,-40.07,16,07,1991
Brasil,Estado de Sao Paulo,Santo Andre,LIRP,5697,"Rio Grande, vila de Campo Grande",Characidium sp.,-23.7583333,-46.3408333,07,10,2005
Brasil,Estado de Mato Grosso,Tangara Da Serra,LIRP,8871,Córrego Formiga,Characidium cf. zebra,-14.5161111,-57.5897222,15,04,2007
Brasil,Estado de Sao Paulo,Salesopolis,LIRP,797,"Córrego atrás da casa de hóspedes, Estação Ecológica de Boracéia",Characidium sp.,-23.5300006866455,-45.8400001525879,21,04,2000
Brasil,Estado de Minas Gerais,Iguatama,LIRP,18249,Córrego desterro,Characidium sp.,-20.189196,-45.751655,20,03,2004
Brasil,Estado de Mato Grosso do Sul,Bonito,LIRP,5545,Alagado às margens do Córrego Anhumas e poção do sumidouro do Anhumas,Characidium cf. zebra,-21.0802778,-56.5969444,26,08,2004
Brasil,Estado de Mato Grosso do Sul,Bodoquena,LIRP,5637,"Córrego Seco, na ponte da linha do Salobra, assentamento Canaã",Characidium cf. zebra,-20.6786111,-56.7536111,02,09,2004
Brasil,Estado de Mato Grosso,Campos De Julio,LIRP,12330,"Rio Formiga, PCH Divisa",Characidium zebra,-13.3672222222,-59.1433333333,01,04,2014
Brasil,Estado de Sao Paulo,Gaviao Peixoto,LIRP,7603,Rio Jacaré-Guaçu,Characidium zebra,-21.8666667,-48.5244444,18,12,2009
Brasil,Estado de Sao Paulo,Buritizal,LIRP,8195,"Bacia do Rio Sapucai, Rio Ponte nova",Characidium zebra,-20.2488889,-47.755,29,05,2010
Brasil,Estado de Mato Grosso,Campo Verde,LIRP,3858,"Rio Água Azul, na estrada de terra",Characidium sp.,-15.2716667,-54.9672222,17,01,2002
Brasil,Estado de Mato Grosso do Sul,Bonito,LIRP,5527,"Córrego Mutum, sob a ponte na estrada Bonito-Guia Lopes, afluente do Rio Miranda",Characidium cf. zebra,-21.2633333,-56.2777778,25,08,2004
Brasil,Estado de Rondonia,Machadinho D'Oeste,LIRP,11179,Igarapé da Cruz (Vila Tabajara),Characidium cf. pteroides,-9.0275,-61.8132222,12,07,2013
Brasil,Estado de Minas Gerais,Sao Roque De Minas,LIRP,656,"Rio São Francisco, Fazenda Casca D'Anta",Characidium fasciatum,-20.5,-46.8333333,31,12,1995
Brasil,Minas Gerais,Ponto Chique,LIRP,12441,"Lagoa da Manteiga, cerca de 3 km a montante da área urbana de Ponto Chique, margem Leste do Rio São Francisco",Characidium lagosantense,-16.663889,-45.068333,21,10,2014
Brasil,Estado de Mato Grosso do Sul,Bonito,LIRP,5546,"Córrego Chocolate, ponte na MS-345, a 22,8 km de Bonito",Characidium cf. zebra,-20.9291667,-56.4327778,21,08,2004
Brasil,Estado de Mato Grosso,Tesouro,LIRP,6155,"Rio das Garças, a montante da futura AHE Foz do Bandeira. Lagoa marginal com comunicação na margem direita",Characidium sp.,-16.0792007446289,-53.5525016784668,26,06,2007
Brasil,Estado de Mato Grosso,Campos De Julio,LIRP,12298,"Rio Formiga, PCH Divisa - a jusante do reservatório",Characidium zebra,-13.3497222222,-55.1533333333,01,08,2013
Brasil,Estado de Minas Gerais,Jordania,LIRP,13881,"Tributary of Rio Jequitinhonha, approximately 15-20 km S of Jordania. Small Fast Flowing Stream Over Rocks and Forming Pools, Deriving From Grass Marsh Area. (Coordinates Are For Jordania.)",Characidium sp.,-15.9,-40.17,12,07,1991
Brasil,Estado de Goias,Catalao,LIRP,3559,"Rio São Bento na fazenda Vitória, Chapadão da Anta Gorda",Characidium sp.,-17.7816667,-47.5327778,26,07,2002
Brasil,Estado de Sao Paulo,Panorama,LIRP,8572,Córrego do Macaco,Characidium zebra,-21.47,-51.9163889,13,01,2009
Brasil,Estado de Sao Paulo,Ribeirao Corrente,LIRP,8239,"Córrego do Japão, na Fazenda Solapão",Characidium gomesi,-20.4086111,-47.625,10,07,2010
Brasil,Estado de Sao Paulo,Bertioga,LIRP,10947,Rio Perequê-mirim,Characidium schubarti,-23.729961,-45.934293,01,09,2013
Brasil,Estado de Sao Paulo,Barretos,LIRP,2517,"Córrego da Guanabara, Faz. Três Irmãos, sub-bacia do baixo Pardo-Grande PAG057",Characidium zebra,-20.4558333,-48.6183333,07,10,2001
Brasil,Estado de Sao Paulo,Ubatuba,LIRP,17609,"Rio Iriri, afluente s/ nome; Ubatumirim, ponto Preservado 03",Characidium vidali,-23.301944,-44.900278,31,03,2019
Brasil,Estado de Minas Gerais,Paracatu,LIRP,9985,Córrego da Cachoeirinha (afluente da margem esquerda do Rio São Marcos) junto a ponte em estrada de terra próximo a fazenda Beirute,Characidium sp.,-17.3377778,-47.3636111,20,05,2004
Brasil,Estado de Sao Paulo,Cajuru,LIRP,192,"Córrego das Pedras, Rio Pardo",Characidium gomesi,-21.4166667,-47.2666667,02,11,1991
